id,SIAE,SSAN,PPQ,TEFO,PHIMIN,PHIMAX,ZMIN,ZMAX
0,1.6591796875,3.04833984375,0.6085592971102332,0.0219189453125,9.2041015625,44.5361328125,-954.1015625,899.4140625
1,2.5029296875,3.04833984375,0.6085592971102332,0.0219189453125,9.2041015625,44.5361328125,-954.1015625,899.4140625
2,1.6591796875,3.03466796875,0.6085592971102332,0.0219189453125,9.2041015625,44.5361328125,-954.1015625,899.4140625
3,1.6591796875,3.04833984375,0.36320670534188126,0.0219189453125,9.2041015625,44.5361328125,-954.1015625,899.4140625
4,1.6591796875,3.04833984375,0.6085592971102332,0.0113720703125,9.2041015625,44.5361328125,-954.1015625,899.4140625
5,1.6591796875,3.04833984375,0.6085592971102332,0.0219189453125,7.4169921875,44.5361328125,-954.1015625,899.4140625
6,1.6591796875,3.04833984375,0.6085592971102332,0.0219189453125,9.2041015625,41.9189453125,-954.1015625,899.4140625
7,1.6591796875,3.04833984375,0.6085592971102332,0.0219189453125,9.2041015625,44.5361328125,-856.4453125,899.4140625
8,1.6591796875,3.04833984375,0.6085592971102332,0.0219189453125,9.2041015625,44.5361328125,-954.1015625,370.1171875
9,2.5029296875,3.03466796875,0.36320670534188126,0.0113720703125,7.4169921875,41.9189453125,-856.4453125,370.1171875
10,3.1591796875,3.29833984375,0.28412890859457385,0.0094189453125,16.7041015625,42.0361328125,-454.1015625,399.4140625
11,1.0029296875,3.29833984375,0.28412890859457385,0.0094189453125,16.7041015625,42.0361328125,-454.1015625,399.4140625
12,3.1591796875,3.28466796875,0.28412890859457385,0.0094189453125,16.7041015625,42.0361328125,-454.1015625,399.4140625
13,3.1591796875,3.29833984375,0.6394346459108365,0.0094189453125,16.7041015625,42.0361328125,-454.1015625,399.4140625
14,3.1591796875,3.29833984375,0.28412890859457385,0.023872070312500004,16.7041015625,42.0361328125,-454.1015625,399.4140625
15,3.1591796875,3.29833984375,0.28412890859457385,0.0094189453125,14.9169921875,42.0361328125,-454.1015625,399.4140625
16,3.1591796875,3.29833984375,0.28412890859457385,0.0094189453125,16.7041015625,44.4189453125,-454.1015625,399.4140625
17,3.1591796875,3.29833984375,0.28412890859457385,0.0094189453125,16.7041015625,42.0361328125,-356.4453125,399.4140625
18,3.1591796875,3.29833984375,0.28412890859457385,0.0094189453125,16.7041015625,42.0361328125,-454.1015625,870.1171875
19,1.0029296875,3.28466796875,0.6394346459108365,0.023872070312500004,14.9169921875,44.4189453125,-356.4453125,870.1171875
20,3.9091796875,3.17333984375,0.7330398930728979,0.028168945312500002,12.9541015625,40.7861328125,-704.1015625,149.4140625
21,1.7529296875,3.17333984375,0.7330398930728979,0.028168945312500002,12.9541015625,40.7861328125,-704.1015625,149.4140625
22,3.9091796875,3.40966796875,0.7330398930728979,0.028168945312500002,12.9541015625,40.7861328125,-704.1015625,149.4140625
23,3.9091796875,3.17333984375,0.7742011051537128,0.028168945312500002,12.9541015625,40.7861328125,-704.1015625,149.4140625
24,3.9091796875,3.17333984375,0.7330398930728979,0.0176220703125,12.9541015625,40.7861328125,-704.1015625,149.4140625
25,3.9091796875,3.17333984375,0.7330398930728979,0.028168945312500002,11.1669921875,40.7861328125,-704.1015625,149.4140625
26,3.9091796875,3.17333984375,0.7330398930728979,0.028168945312500002,12.9541015625,40.6689453125,-704.1015625,149.4140625
27,3.9091796875,3.17333984375,0.7330398930728979,0.028168945312500002,12.9541015625,40.7861328125,-106.4453125,149.4140625
28,3.9091796875,3.17333984375,0.7330398930728979,0.028168945312500002,12.9541015625,40.7861328125,-704.1015625,120.1171875
29,1.7529296875,3.40966796875,0.7742011051537128,0.0176220703125,11.1669921875,40.6689453125,-106.4453125,120.1171875
30,2.4091796875,3.42333984375,0.487623298546117,0.0156689453125,5.4541015625,43.2861328125,-204.1015625,649.4140625
31,3.2529296875,3.42333984375,0.487623298546117,0.0156689453125,5.4541015625,43.2861328125,-204.1015625,649.4140625
32,2.4091796875,3.15966796875,0.487623298546117,0.0156689453125,5.4541015625,43.2861328125,-204.1015625,649.4140625
33,2.4091796875,3.42333984375,0.5219541887912215,0.0156689453125,5.4541015625,43.2861328125,-204.1015625,649.4140625
34,2.4091796875,3.42333984375,0.487623298546117,0.0051220703125,5.4541015625,43.2861328125,-204.1015625,649.4140625
35,2.4091796875,3.42333984375,0.487623298546117,0.0156689453125,18.6669921875,43.2861328125,-204.1015625,649.4140625
36,2.4091796875,3.42333984375,0.487623298546117,0.0156689453125,5.4541015625,43.1689453125,-204.1015625,649.4140625
37,2.4091796875,3.42333984375,0.487623298546117,0.0156689453125,5.4541015625,43.2861328125,-606.4453125,649.4140625
38,2.4091796875,3.42333984375,0.487623298546117,0.0156689453125,5.4541015625,43.2861328125,-204.1015625,620.1171875
39,3.2529296875,3.15966796875,0.5219541887912215,0.0051220703125,18.6669921875,43.1689453125,-606.4453125,620.1171875
40,2.0341796875,3.23583984375,0.410829949348772,0.0125439453125,7.3291015625,43.9111328125,-579.1015625,24.4140625
41,2.1279296875,3.23583984375,0.410829949348772,0.0125439453125,7.3291015625,43.9111328125,-579.1015625,24.4140625
42,2.0341796875,3.34716796875,0.410829949348772,0.0125439453125,7.3291015625,43.9111328125,-579.1015625,24.4140625
43,2.0341796875,3.23583984375,0.885260727993143,0.0125439453125,7.3291015625,43.9111328125,-579.1015625,24.4140625
44,2.0341796875,3.23583984375,0.410829949348772,0.0082470703125,7.3291015625,43.9111328125,-579.1015625,24.4140625
45,2.0341796875,3.23583984375,0.410829949348772,0.0125439453125,9.2919921875,43.9111328125,-579.1015625,24.4140625
