id,GCM,FICE,FSNOW,PRS,RFR,OCM,OCS,TCT,VCM,PPQ,SIAE
0,3.0,7.950609155668533,3.017020287217959,6.134798884320406,0.6400803472673791,0.0,1.0,1.0,1.2891991234425675,0.42872562162764805,1.171548102653579
1,0.0,10.106526927106945,3.3014599051939033,5.56686086247962,0.3608942076317336,1.0,-1.0,1.0,1.1907717186184261,0.6263497384307964,1.711400909533686
2,0.0,4.760725819070107,4.6187925247935055,5.467320582675141,0.7247713877017345,1.0,0.0,0.0,1.2377256964580323,0.6034908670007871,2.197000622473107
3,0.0,4.298703694366387,4.097285560450041,6.238123381252377,0.28121185159965123,0.0,1.0,-1.0,0.8513736951507783,0.710493753373729,1.7297146953486178
4,3.0,8.297805032800278,3.2747769668108484,6.53583567326925,0.5251806265164195,1.0,-1.0,-1.0,0.7589017222588321,0.6344329910627572,2.1535241307508235
5,3.0,9.19483525318206,3.7062081270889973,5.854350977319206,0.6260126835360882,0.0,-1.0,0.0,0.9690077222731819,0.5300520097775107,1.4865501429407653
6,3.0,6.4245981037676,3.6528934342452017,5.2192931569125065,0.6570891080044055,-1.0,0.0,0.0,0.8918942521544599,0.5138213937491694,1.614542831868501
7,3.0,9.021284857568602,4.127684408062809,5.763168832050028,0.6335749274894581,1.0,1.0,1.0,0.8764721042504122,0.787756797531922,3.0977430866528333
8,0.0,5.614445183715555,3.18217954559821,6.33970617236267,0.5497844651391326,-1.0,1.0,-1.0,0.727606158230343,0.6307364827486925,2.5735504742208635
9,2.0,4.438419867101181,5.111707933915398,5.831417035836238,0.5668360558054575,0.0,0.0,1.0,1.041683792847088,0.795622099670389,2.001730642235562
10,1.0,5.803997437690363,4.050497240003111,6.817699760288585,0.30974766018303707,1.0,1.0,-1.0,1.0083746549990178,0.2892397019438734,2.2837550935665245
11,1.0,5.237582788483593,3.2272327798679035,6.868927001379435,0.41834909324442604,-1.0,-1.0,-1.0,1.2049740002972138,0.5889439731277903,3.0356488689332797
12,3.0,4.642966570285999,3.78346340789098,5.491700024728423,0.42867348906497027,-1.0,1.0,1.0,0.7009878054068901,0.6506422135957134,2.9443074734282986
13,3.0,7.995876431136251,2.4168838487987925,6.362532400933331,0.6618879832430913,-1.0,1.0,1.0,1.0603226871323579,0.7245882658307627,1.5466637740087879
14,0.0,9.587641645696069,4.905150225172202,5.807146362128659,0.5447840984298336,-1.0,0.0,1.0,0.9840900131493348,0.7497277238007344,2.302066717377854
15,2.0,9.83752146601201,3.4647660198498063,5.818326635023911,0.5821446775782283,1.0,-1.0,0.0,1.1177332034777734,0.5612206757659928,1.261263297433059
16,1.0,10.467205382817252,3.852301700719315,6.449646553460353,0.447644098526653,-1.0,-1.0,0.0,0.9142829511553745,0.4722351993272206,4.53050460006852
17,0.0,9.075780896697122,6.084843470115759,6.253695924905859,0.3705035513742254,1.0,1.0,0.0,1.1533731221334107,0.7148188921639163,1.0871436040443234
18,2.0,9.70355268870968,2.1278371106322025,5.897833782362051,0.5187993459971566,0.0,1.0,-1.0,0.6720959859556828,0.7543517239564119,2.0494485636330864
19,2.0,10.779779504866244,5.684002673011986,6.8519393915549305,0.28800348559051225,1.0,-1.0,1.0,1.125575809247578,0.7210362718954407,2.753556541251223
20,1.0,6.997770703344262,4.4570764784983234,5.524810991037987,0.7217059169027638,1.0,0.0,-1.0,1.0846766516406838,0.25449453578865905,3.230425689163943
21,0.0,5.87413287101583,4.068541971543478,5.043882881914013,0.4571702657111067,0.0,1.0,1.0,1.0658397660555945,0.6989231752647842,1.9194178708367864
22,1.0,5.602955473861091,5.7472976580437445,5.437129095910326,0.5235911163556436,0.0,-1.0,0.0,1.006359595068233,0.47864466238143527,1.0484863263472124
23,3.0,6.252485003716471,3.5795831935576086,5.774636855185435,0.5144256741182499,1.0,-1.0,-1.0,0.7420082400948552,0.5580609037257476,1.7530542032828071
24,1.0,6.278388853350356,4.47527992404379,6.407249523345056,0.5915361032451638,0.0,0.0,-1.0,0.7562706230134101,0.8414194815210351,1.6370698620304998
25,1.0,10.123458223563976,4.519117049609598,5.00990653350363,0.3985743560713855,0.0,-1.0,1.0,1.2768055607891755,0.5475133652910078,1.7592949304005194
26,2.0,7.386218836474952,4.922819719334354,6.620582819399205,0.7017746294760572,0.0,1.0,-1.0,0.973059352892375,0.8081936479182158,3.052540877829063
27,2.0,11.21728639921589,3.8857212896142332,6.823235056336429,0.43570605866352236,0.0,0.0,0.0,1.1304557876200854,0.8478639669405481,2.3341839444236863
28,1.0,10.977965683313775,3.506946504760166,5.556447927341064,0.7085741827219786,1.0,1.0,0.0,1.1158117817568856,0.5177701660710204,1.4440392775207274
29,1.0,9.250508616931109,5.229629396032462,6.612704875565288,0.645215354910748,-1.0,1.0,-1.0,1.0025416215676524,0.6778891837336389,2.2455572304445517
30,2.0,8.359889924499432,3.7430423998400233,6.119745887235108,0.31175736477388394,0.0,1.0,0.0,0.8713791400915064,0.607562124989552,1.0388887948207954
31,1.0,9.56461590906535,4.7305908202716305,5.570669628775132,0.39479207129398197,0.0,1.0,1.0,1.1745402855003504,0.7785449075363066,2.4954866688753174
32,1.0,7.267199962563008,4.673215494055243,6.121606838728523,0.5737331464991517,0.0,-1.0,0.0,0.8468236434998242,0.45340015840545567,1.0684037291862816
33,1.0,5.073027279710299,5.20402681140846,6.359257481681732,0.5796337151024836,-1.0,1.0,0.0,0.7640498241280717,0.3585692813974038,1.2001109039220068
34,0.0,7.333566890726445,4.262736168092664,5.156260101239388,0.6005471833820976,-1.0,1.0,-1.0,1.2684043401090583,0.6736457376000352,1.212070308076794
35,3.0,11.3015004454964,4.74571854052878,5.4591902768594185,0.5573932654731917,0.0,-1.0,-1.0,0.8392429973409349,0.485026962976033,1.5801963197435822
36,2.0,7.359244941098766,3.689263528202937,5.661766295865851,0.6045572327890602,-1.0,0.0,-1.0,0.8497375644528653,0.42406512058798385,1.3621487893972961
37,1.0,10.409698317692808,4.183876749769847,5.993695436707176,0.7103372545829041,-1.0,-1.0,1.0,0.8859617453237549,0.6162761375263903,1.5210775486121961
38,1.0,6.542525159582898,2.5529487485733187,5.645379778672598,0.3778217107437455,-1.0,1.0,0.0,1.2340412240698606,0.6953092200177157,1.9446739103442479
39,0.0,5.547636814193877,4.113889965421835,5.622266949832481,0.4493564207476467,0.0,0.0,0.0,1.0705791463242262,0.6677898486206217,1.7771858310515865
