id,limnsw(cm)
0,52.8210
1,50.9599
2,325.9719
3,204.5208
4,114.9845
5,126.6914
6,247.7440
7,153.8340
8,98.6859
9,58.2194
10,135.8948
11,19.6665
12,189.9682
13,131.1355
14,115.0122
15,52.2274
16,211.9558
17,35.0539
18,83.3466
19,82.4388
20,101.3895
22,45.4188
23,31.7386
24,254.0881
25,218.2234
26,44.4190
27,154.9546
28,144.2953
29,154.4074
30,140.5545
31,92.4773
32,223.3497
33,151.8548
35,203.9276
36,108.6659
37,296.0609
38,149.0376
39,269.4459
40,211.0346
41,69.1588
42,49.3398
43,222.7659
44,199.0896
45,137.0696
46,148.8033
49,216.2497
50,240.2622
51,81.2497
52,76.5830
53,190.0486
55,74.9286
56,259.0398
57,223.6969
58,236.4121
59,98.1287
60,51.3631
61,277.7052
62,199.1409
63,74.9213
64,149.2281
65,237.9110
66,51.4446
67,92.5970
68,55.9765
70,255.0471
71,30.0099
72,329.7288
73,24.2560
74,114.1482
75,230.1920
76,163.1029
77,244.3154
78,150.1665
79,104.4106
80,238.9960
81,50.9688
82,95.8890
83,142.5051
84,180.4378
85,76.8497
86,45.8459
87,317.3148
88,70.6181
89,84.4825
90,228.4998
91,106.8859
92,217.9908
93,137.1758
94,295.9963
95,237.6855
96,17.0071
97,229.4216
98,116.7946
99,24.2240
100,72.4523
101,182.4295
102,155.6267
103,62.2667
104,249.5434
105,158.3177
106,58.3006
107,100.3557
108,71.9964
109,88.2243
110,91.0233
111,158.0196
112,216.1028
114,113.3387
115,291.7695
116,84.0046
117,275.3663
118,128.9455
119,56.6382
120,111.4907
121,215.0785
122,172.6883
123,126.4888
124,150.8408
125,164.0267
126,166.8303
127,82.0811
128,169.2841
129,150.3441
130,64.6893
131,32.9112
132,81.7132
133,112.5019
134,138.8557
135,90.0013
137,182.6470
138,319.9253
139,255.3413
140,52.8451
141,140.9033
142,48.7820
143,37.8345
144,96.8360
145,109.0909
146,259.1505
147,72.3847
148,101.5573
149,45.7412
150,91.0862
151,316.3191
152,206.6706
153,301.1035
154,115.1118
155,306.5655
156,195.7073
157,262.5278
158,138.5936
159,208.5382
160,119.9872
161,142.9099
162,194.0887
163,258.5039
164,103.5780
165,160.9903
166,203.1753
167,152.6529
168,56.4106
169,154.1157
170,43.6905
171,83.3158
172,151.5112
173,49.5471
174,129.7391
175,305.9359
176,142.4636
177,70.0061
179,221.3462
180,236.2958
181,52.2282
182,133.8372
183,47.6386
184,191.2013
185,257.2114
186,63.0048
187,28.8873
188,317.8605
189,196.2462
190,57.3762
191,205.4446
192,186.0086
193,214.0527
194,110.2927
195,253.1902
196,158.0879
197,161.5089
198,83.8286
199,88.5582
200,223.0010
201,29.0141
202,238.3359
203,79.2551
204,60.7329
206,132.6447
207,219.3957
208,173.1888
209,139.1642
210,238.7508
211,112.3459
212,57.7130
213,104.9599
214,92.6421
216,176.8687
217,220.3800
218,66.9045
219,81.1492
220,134.5588
222,17.5145
223,106.2924
224,120.2768
225,149.7976
226,291.8615
227,213.5893
228,44.6960
229,64.2107
230,240.8044
231,146.2030
232,68.5988
233,263.5880
234,141.6452
236,59.3653
237,46.8250
238,169.4560
239,23.2497
240,264.6747
241,128.3325
242,128.9058
243,260.5130
244,218.4789
245,134.4455
246,258.1116
247,285.8624
248,46.6341
249,132.3662
251,50.8190
252,184.0715
253,227.9308
254,177.7354
255,94.2056
256,90.4311
257,61.4767
258,103.4274
259,182.2777
260,94.2436
261,142.7608
262,137.8507
263,168.8276
264,73.3054
265,167.1479
266,222.3666
267,205.1280
268,67.2438
269,115.3813
270,105.1756
271,93.7983
272,218.4990
273,71.9677
274,140.2451
275,98.6433
276,156.3650
277,158.5340
278,37.7259
279,82.5452
280,152.1545
281,81.3342
282,204.0921
283,132.9258
284,76.9100
285,221.0430
286,46.9604
287,67.0789
288,240.1021
289,95.5751
290,66.3273
291,102.9921
292,55.3720
293,201.2849
294,218.3002
295,28.6459
296,225.7258
297,82.3489
298,170.0189
299,92.0015
300,178.3770
301,212.1306
302,139.3353
304,70.8607
305,188.0089
306,50.4077
307,58.2624
308,77.7466
309,217.3538
310,80.7558
311,163.8799
312,155.7821
313,86.2755
314,82.7304
316,130.3500
317,197.6950
318,89.3796
319,112.3833
320,92.3388
321,244.6432
322,266.2235
323,211.4629
324,107.0493
325,122.9698
326,157.1566
327,180.7314
328,269.3931
329,204.8076
330,280.1034
331,61.5713
332,79.8709
333,45.9238
334,97.1596
335,239.6458
336,199.2361
337,35.4189
338,72.6948
339,123.6036
340,201.8422
341,90.7484
342,226.8035
343,188.1590
344,119.3403
346,135.6945
347,93.3562
348,193.1412
349,145.9353
350,74.9931
351,193.6506
352,139.1146
353,100.0101
354,127.6816
355,65.3839
356,104.0346
357,70.5663
358,171.9001
359,197.3590
360,266.2914
361,89.4096
362,246.5879
363,50.7801
364,209.6697
366,81.0145
367,136.7061
369,116.9884
370,207.1625
371,121.3045
372,59.2872
373,150.9918
374,127.1784
375,146.4932
376,169.3359
377,177.1479
378,149.7376
379,250.9283
380,150.2207
381,135.9356
382,184.4234
383,235.7906
384,189.7682
385,256.6263
386,85.5750
388,121.1107
389,71.8382
390,30.0473
391,94.5883
392,150.9927
393,111.9244
394,275.2624
395,125.2331
396,335.3055
397,237.9252
398,78.6979
399,213.3492
400,256.1213
401,157.5661
402,55.1716
403,163.5691
404,118.8427
405,301.6487
406,256.3377
407,153.7418
408,139.2844
409,145.0562
410,227.5220
411,103.0542
412,37.4267
413,126.5716
414,47.7692
415,67.4446
416,79.7051
417,74.1518
418,188.3303
419,122.6054
420,241.4468
421,51.0792
422,155.2249
423,72.5284
424,37.3580
425,119.1605
426,161.6957
427,124.6558
429,96.7496
430,241.8167
431,77.9836
432,53.4321
433,154.3481
434,160.1649
435,35.3509
436,162.9909
437,147.3369
438,88.6827
439,144.7782
441,230.6488
442,154.5251
443,161.2539
444,212.0179
445,183.5656
446,158.4825
447,80.9776
448,51.0801
449,150.6389
450,72.8700
451,62.7626
452,101.1976
453,85.6297
454,196.3279
455,71.4513
456,113.4617
457,54.4348
458,185.5467
459,79.7990
460,172.9369
461,51.5790
462,117.0480
463,18.6007
464,51.4726
465,124.4624
466,117.5339
467,20.0483
468,185.7465
469,263.8953
470,139.4916
471,85.7206
472,74.7868
473,142.7202
474,90.1300
475,126.9679
476,40.9393
477,220.1607
478,214.6467
479,231.2509
480,149.0057
481,234.6581
482,170.7720
483,234.2953
484,54.3825
485,41.8712
486,212.1785
487,186.3165
488,92.3712
489,196.5578
490,79.5119
491,92.5679
492,122.6001
