id,limnsw(cm)
0,63.5360
1,61.5429
2,397.8821
3,254.6761
4,146.7688
5,148.5412
6,307.5125
7,192.4461
8,115.5727
9,67.5768
10,172.9815
11,22.7610
12,234.6719
13,168.7474
14,136.4566
15,62.9916
16,266.6748
17,40.0119
18,98.6973
19,93.0122
20,113.6819
22,52.3238
23,36.5499
24,307.7233
25,264.7019
26,53.1768
27,191.0593
28,168.0684
29,191.3465
30,179.3079
31,104.6667
32,274.2618
33,178.3455
35,254.0438
36,122.0223
37,364.9739
38,183.5567
39,331.4673
40,265.4897
41,83.4519
42,55.8874
43,277.0927
44,243.8412
45,162.1699
46,185.7578
49,268.9052
50,290.9853
51,91.6468
52,91.0882
53,237.7862
55,85.3000
56,327.9071
57,280.6724
58,290.0322
59,116.2450
60,57.8306
61,343.2867
62,245.1557
63,89.4062
64,186.4027
65,300.6660
66,58.2033
67,104.0147
68,63.9076
70,313.9975
71,34.8913
72,402.2798
73,28.3554
74,135.4213
75,288.4300
76,203.6818
77,303.3043
78,185.7730
79,121.5849
80,300.7851
81,59.3350
82,108.2560
83,179.4466
84,218.5781
85,86.8681
86,52.4767
87,384.6876
88,84.3216
89,94.6451
90,282.9235
91,125.1912
92,275.2445
93,170.2110
94,365.2423
95,290.3863
96,19.7899
97,292.3241
98,144.8058
99,28.0261
100,82.0517
101,226.4749
102,198.2716
103,70.6920
104,309.8433
105,197.1048
106,65.7737
107,120.1949
108,82.5971
109,99.0965
110,102.2008
111,197.6548
112,269.7877
114,134.2006
115,359.4126
116,100.0473
117,338.8088
118,161.5496
119,63.6781
120,130.0932
121,263.9377
122,218.2707
123,158.7667
124,189.2781
125,203.0075
126,193.8120
127,98.9800
128,208.4444
129,180.8426
130,74.2348
131,37.5462
132,92.0563
133,142.0190
134,160.0497
135,107.0855
137,223.7203
138,391.6956
139,316.1179
140,63.4999
141,163.7146
142,55.9665
143,44.0026
144,114.1085
145,123.0600
146,322.4943
147,82.9236
148,114.7407
149,51.9427
150,108.7798
151,390.9791
152,257.2136
153,368.8993
154,135.7143
155,375.8923
156,247.9947
157,326.4589
158,173.5509
159,261.3824
160,150.5131
161,167.4153
162,241.5786
163,321.6422
164,123.0421
165,200.8596
166,251.6091
167,188.5309
168,63.6561
169,189.9859
170,52.9408
171,94.7862
172,185.4821
173,55.5960
174,152.6577
175,378.3878
176,177.1597
177,81.1783
179,274.3689
180,296.6274
181,59.6187
182,167.2962
183,58.2341
184,234.8021
185,320.8912
186,70.5166
187,33.0541
188,389.9085
189,242.9124
190,63.9658
191,257.6237
192,231.6416
193,270.1985
194,130.1571
195,313.4730
196,197.8614
197,201.4262
198,100.4701
199,104.7419
200,282.8313
201,33.5459
202,297.4510
203,89.7015
204,69.1508
206,166.4801
207,270.1736
208,217.3396
209,174.0162
210,296.8608
211,125.4951
212,65.1340
213,124.1907
214,104.1432
216,219.2375
217,278.9723
218,75.1540
219,95.9837
220,170.3828
222,20.6670
223,125.2546
224,147.0148
225,184.4424
226,361.6085
227,270.9747
228,51.1029
229,72.8653
230,297.7654
231,168.3441
232,82.3904
233,323.6434
234,167.2237
236,71.4151
237,53.9436
238,197.6939
239,27.1720
240,324.8658
241,155.9001
242,151.6124
243,318.4809
244,273.5497
245,167.3541
246,324.7725
247,354.9007
248,52.8804
249,165.7400
251,57.9982
252,230.5435
253,285.0378
254,221.6391
255,111.7884
256,106.9530
257,68.6763
258,114.6781
259,225.8656
260,106.3041
261,174.1925
262,172.0968
263,213.6388
264,84.4177
265,205.9350
266,276.6810
267,256.2905
268,75.6633
269,136.1185
270,131.7068
271,110.9811
272,268.4633
273,81.8692
274,164.7538
275,117.3564
276,195.8614
277,197.9229
278,43.0584
279,98.2590
280,176.7262
281,90.2418
282,260.0437
283,163.3468
284,87.1589
285,280.2253
286,54.2192
287,76.9931
288,295.4221
289,106.8172
290,75.5110
291,121.3101
292,62.5136
293,246.5887
294,267.5024
295,33.6015
296,277.9880
297,94.7778
298,212.6667
299,108.2188
300,219.4336
301,267.3131
302,171.3078
304,83.5127
305,236.0867
306,57.2135
307,69.7752
308,87.3456
309,269.7207
310,95.3901
311,208.7970
312,192.5975
313,103.4642
314,93.2713
316,153.3816
317,247.8076
318,111.1912
319,140.9117
320,108.2797
321,302.2969
322,327.3843
323,262.2564
324,123.9775
325,142.8201
326,196.4801
327,225.3784
328,329.7781
329,260.3955
330,346.6828
331,70.5622
332,88.9270
333,52.5088
334,114.8357
335,301.1647
336,250.3827
337,40.7954
338,87.2094
339,145.7599
340,254.2049
341,109.0632
342,280.5639
343,237.2085
344,141.9507
346,159.4558
347,104.7941
348,235.2950
349,178.6713
350,89.8036
351,232.4794
352,173.5124
353,113.0045
354,151.7912
355,74.9581
356,131.0726
357,83.7008
358,213.3940
359,241.1317
360,326.2066
361,101.7100
362,301.2292
363,61.0336
364,262.3326
366,95.4018
367,156.4021
369,147.6878
370,256.1246
371,152.7169
372,71.4201
373,186.6659
374,158.6910
375,169.2027
376,214.9634
377,222.4240
378,174.9217
379,309.4822
380,185.5747
381,171.7608
