id,limnsw(cm)
0,8.4877
1,6.6878
2,58.9977
3,22.4078
4,0.8778
5,42.8093
6,39.3896
7,20.9525
8,32.9230
9,14.5336
10,7.8977
11,0.1566
12,33.5261
13,6.6264
14,31.5696
15,6.6275
16,28.8600
17,7.5971
18,22.3402
19,32.1788
20,48.7811
21,55.8042
22,9.6329
23,2.3668
24,54.0606
25,50.7467
26,8.3551
27,34.1607
28,58.6264
29,29.1025
30,12.4315
31,32.8310
32,32.5730
33,53.9050
34,40.5718
35,34.6281
36,51.2826
37,62.3602
38,25.7676
39,55.5166
40,26.0323
41,11.9110
42,18.0030
43,31.9134
44,37.5796
45,40.8361
46,12.8409
47,52.6970
48,54.2927
49,42.8946
50,64.2123
51,34.2985
52,22.1797
53,18.3741
54,40.8071
55,27.4401
56,36.4060
57,36.4017
58,33.6674
59,28.2240
60,20.5876
61,41.3494
62,25.7576
63,18.0892
64,10.1578
65,31.1742
66,16.9107
67,41.1855
68,18.4482
69,25.4960
70,39.6246
71,3.4035
72,67.5096
73,4.1363
74,30.8794
75,42.5041
76,20.0556
77,41.6405
78,25.4323
79,37.8374
80,30.8640
81,8.1707
82,37.9216
83,9.2358
84,41.9910
85,33.6809
86,11.0652
87,62.5726
88,13.9696
89,39.1400
90,47.6179
91,34.4059
92,31.4298
93,11.1158
94,64.7070
95,57.9556
96,1.0616
97,39.3264
98,13.6626
99,2.0583
100,26.3990
101,22.5965
102,19.8439
103,21.2757
104,31.6962
105,14.5963
106,24.9682
107,24.9837
108,24.8462
109,38.1972
110,39.2145
111,15.6095
112,44.2203
114,34.4945
115,60.5481
116,25.5324
117,42.9345
118,8.5367
119,22.6949
120,40.5216
121,52.3955
122,28.4367
123,18.0250
124,26.7264
125,26.1485
126,70.0929
127,16.7655
128,25.5413
129,36.5221
130,19.4010
131,6.5310
132,32.8072
133,16.5506
134,62.7703
135,27.9003
136,51.0519
137,34.1627
138,62.9766
139,40.6990
140,14.8418
141,57.8995
142,16.6846
143,3.0325
144,27.1705
145,46.6376
146,37.9914
147,22.8916
148,44.0634
149,14.4311
150,19.9281
151,65.3163
