id,limnsw(cm)
0,4.6746
1,3.7912
2,28.8984
3,13.1689
4,3.0258
5,18.5112
6,20.2986
7,13.1384
8,15.6129
9,6.2543
10,5.4920
11,-0.0630
12,19.2605
13,5.4994
14,13.2109
15,3.6046
16,15.1548
17,4.2107
18,10.5596
19,15.2430
20,24.6437
21,27.8702
22,5.2713
23,2.1515
25,29.8915
26,5.0894
27,21.9011
28,26.4531
29,17.8874
30,8.5774
31,14.0992
32,17.8856
33,22.6795
35,18.1912
36,24.0867
37,32.4250
38,15.5361
39,29.2576
40,14.4620
41,5.4409
42,9.7139
43,16.3399
44,19.6856
45,16.8525
46,8.3920
47,27.0507
48,28.1639
49,24.6487
51,16.8602
52,10.3123
53,11.6792
54,22.1097
55,12.5451
56,18.9202
57,19.4569
58,18.7759
59,12.2395
60,10.6946
61,20.9315
62,15.5086
63,8.3659
64,7.6050
65,16.2805
66,8.8764
67,19.3705
68,8.9888
69,13.6694
70,21.1027
71,1.5466
72,32.4459
73,1.1059
74,13.2099
75,23.7096
76,11.4031
77,21.8021
78,16.0132
79,17.6233
80,16.4857
81,3.3387
82,16.4019
83,6.3983
84,25.0469
85,15.6401
86,5.8935
87,31.1062
88,6.9419
89,19.7884
90,25.5661
91,15.7522
92,16.8539
93,8.0057
94,33.7720
95,31.7901
96,0.7320
97,21.2054
98,9.5051
99,0.9696
100,12.7322
101,13.2711
102,11.3142
103,10.1968
104,16.9044
105,9.8175
106,12.8335
107,10.7671
108,10.9334
109,18.9151
110,18.2319
111,10.2258
112,24.6016
114,15.0537
115,31.8381
116,12.0195
117,21.9531
118,7.1149
119,12.1833
120,19.4750
121,30.8712
122,16.5042
123,11.1909
124,15.9653
125,16.2614
126,31.7977
127,7.1140
128,15.1874
129,23.5548
130,8.3773
131,3.6622
132,15.7212
133,8.8785
134,31.3289
135,12.5997
136,25.9604
137,19.5894
138,31.6108
139,20.8649
140,5.9709
141,27.5137
142,6.7339
143,1.7609
144,12.6387
145,20.3599
146,19.7156
147,10.2210
148,19.3925
149,7.1121
150,8.5263
151,31.9502
152,15.8631
153,26.8351
154,13.6127
155,32.3037
156,12.2053
157,20.6484
158,8.7470
159,14.8666
160,5.1395
161,21.6436
162,22.1815
163,30.5545
164,15.4066
165,12.3089
166,20.5629
167,20.7064
168,12.9396
169,12.6984
170,2.4459
171,15.0667
172,18.7270
173,10.3254
174,18.2475
175,29.4073
176,9.6153
177,16.5490
178,22.6891
179,20.6522
180,26.1428
181,7.8081
182,10.3572
183,1.5887
184,16.5971
185,23.2093
186,16.0173
187,3.7964
188,29.9056
189,17.9037
190,16.2023
191,19.5294
192,11.7390
193,18.8588
194,12.2632
195,22.6398
196,8.4138
197,10.4534
198,7.5271
199,11.4454
200,16.0347
201,2.2840
202,19.5421
203,12.4597
204,9.8990
205,17.9627
206,7.5471
207,16.1220
208,11.0695
209,6.9667
210,19.2192
211,28.2106
212,12.4686
213,13.8306
214,19.0259
215,18.5543
216,14.5237
217,14.1348
218,14.8146
219,9.9040
220,12.1072
221,20.7507
222,-1.0367
223,13.7430
224,11.6819
225,11.7365
226,27.4788
227,18.8259
228,7.7160
229,9.9758
230,24.8532
231,32.8925
232,5.6021
233,26.1109
234,17.4610
236,5.4590
237,4.8586
238,26.0636
239,0.5564
240,32.4023
241,15.9877
242,19.6509
243,29.5416
244,16.6281
245,11.0681
246,26.9216
247,33.1371
248,8.1704
