id,limnsw(cm)
0,16.9711
1,16.2388
2,89.4712
3,50.1191
4,22.9261
5,48.8012
6,65.3531
7,41.1574
8,37.5530
9,20.6399
10,28.5739
11,6.2021
12,53.2029
13,27.9714
14,39.2698
15,15.9567
16,51.2930
17,13.2428
18,29.7033
19,35.2674
20,47.0574
22,17.0048
23,11.2438
24,79.3212
25,69.3677
26,15.6467
27,49.5449
28,59.1982
29,45.0522
30,33.1482
31,37.4823
32,60.1324
33,57.6257
35,54.2996
36,49.1338
37,85.4408
38,43.3687
39,79.0559
40,52.5436
41,21.5460
42,21.5874
43,56.3798
44,55.6598
45,47.6161
46,34.7028
49,63.5093
50,80.6950
51,35.2897
52,27.1868
53,46.4024
55,30.7595
56,64.3605
57,59.5772
58,63.4048
59,34.2245
60,23.3278
61,72.5555
62,53.1407
63,25.3770
64,34.4352
65,56.7586
66,22.0978
67,41.7072
68,22.4837
70,67.5265
71,10.1281
72,92.7750
73,7.8014
74,39.3149
75,63.8630
76,40.4281
77,65.9346
78,43.5605
79,41.9026
80,59.4395
81,16.6817
82,40.4095
83,32.0501
84,57.1459
85,33.5477
86,17.7132
87,92.4369
88,23.5778
89,39.4142
90,66.3985
91,40.7304
92,55.8016
93,33.1813
94,87.2483
95,73.7034
96,5.8349
97,61.3511
98,31.3418
99,8.2486
100,30.6430
101,45.1764
102,38.1558
103,25.6237
104,62.1124
105,38.1651
106,26.2999
107,33.6565
108,28.3872
109,39.2134
110,40.7871
111,39.1601
112,62.8207
114,40.4926
115,85.1988
116,30.0708
117,73.6067
118,31.7620
119,25.9271
120,44.9955
121,69.2685
122,46.7999
123,32.5767
124,42.9237
125,46.1324
126,69.0028
127,25.8149
128,46.4513
129,50.5322
130,24.5914
131,12.8743
132,35.2417
133,27.7711
134,60.6698
135,31.9080
137,52.7344
138,89.9618
139,67.3576
140,17.8396
141,58.9893
142,18.9767
143,12.4638
144,34.9167
145,46.8020
146,67.5970
147,27.9638
148,43.4356
149,18.8796
150,29.5498
151,87.1230
152,52.4509
153,83.2649
154,41.5337
155,87.5137
156,45.9813
157,68.6384
158,33.9854
159,52.0998
160,26.7178
161,54.5060
162,56.1959
163,75.4242
164,38.0057
165,41.9974
166,58.6101
167,46.7953
168,25.7048
169,40.9358
170,13.2693
171,34.4102
172,45.7484
173,22.9915
174,47.7209
175,82.8041
176,35.3409
177,31.1070
179,61.3934
180,67.2065
181,21.1054
182,35.4265
183,13.5188
184,52.1374
185,68.8311
186,30.0560
187,11.1544
188,88.6060
189,54.4361
190,28.8435
191,55.4785
192,46.8178
193,56.3696
194,38.5484
195,69.5279
196,36.6779
197,40.2155
198,26.4527
199,31.7216
200,56.7568
201,10.1241
202,63.0537
203,32.7797
204,24.7738
206,32.7365
207,56.9538
208,41.6174
209,31.4862
210,62.1630
211,53.2445
212,25.8757
